Acad Group,Class ID,Subject,Subject Code,Course Nbr,Course Title,Day,Time,Course Size,Seats Available,Regist Code
Architecture & Urban Planning,25371,Architecture,ARCH,708,Systems Engagement,F,9-12PM,27,21,ARCH-708
Architecture & Urban Planning,32120,Architecture,ARCH,209,Special Topics Arch,F,9-1PM,16,12,ARCH-209
Architecture & Urban Planning,22314,Architecture,ARCH,813,Res&Meth Arch,M,1-4PM,20,16,ARCH-813
Architecture & Urban Planning,18955,Architecture,ARCH,506,Spec Topics Des Fund,M,2-530PM,12,4,ARCH-506
Architecture & Urban Planning,21577,Architecture,ARCH,583,Professnl Pract,M,2-5PM,10,7,ARCH-583
Architecture & Urban Planning,25369,Architecture,ARCH,701,Theories in Dig Tech,M,2-5PM,24,15,ARCH-701
Architecture & Urban Planning,21787,Architecture,ARCH,609,Disability Studies,M,4-7PM,27,27,ARCH-609
Architecture & Urban Planning,24102,Architecture,ARCH,421,Geometric Modeling,M,9-12PM,10,4,ARCH-421
Architecture & Urban Planning,24105,Architecture,ARCH,591,Design Computing,M,9-12PM,18,15,ARCH-591
Architecture & Urban Planning,22966,Architecture,ARCH,605,Env Des Simulation,M,9-12PM,13,9,ARCH-605
Architecture & Urban Planning,22975,Architecture,ARCH,728,Hlth Civ Infrastruct,M,9-12PM,27,19,ARCH-728
Architecture & Urban Planning,10019,Architecture,ARCH,314,Structures I,M F,11-12PM,13,5,ARCH-314
Architecture & Urban Planning,10015,Architecture,ARCH,313,History Arch I,M W,10-11AM,16,10,ARCH-313
Architecture & Urban Planning,10009,Architecture,ARCH,201,Basic Drawing,M W,830-1130AM,20,18,ARCH-201
Architecture & Urban Planning,19983,Architecture,ARCH,523,Hist Urban Form,M W,9-1030AM,15,9,ARCH-523
Architecture & Urban Planning,33271,Architecture,ARCH,564,Adv Material Struct,M W,9-1030AM,16,15,ARCH-564
Architecture & Urban Planning,10011,Architecture,ARCH,312,Arch Design I,M W F,2-6PM,15,10,ARCH-312
Architecture & Urban Planning,15902,Architecture,ARCH,412,Arch Design I,M W F,2-6PM,24,17,ARCH-412
Architecture & Urban Planning,10036,Architecture,ARCH,432,Arch Des III,M W F,2-6PM,18,16,ARCH-432
Architecture & Urban Planning,26488,Architecture,ARCH,527,Integrative Systems,T,1030-1230PM,16,13,ARCH-527
Architecture & Urban Planning,10031,Architecture,ARCH,211,Digital Drawing,T,130-230PM,24,24,ARCH-211
